"","OTU_118","OTU_36","OTU_137","OTU_130","OTU_100","OTU_99","OTU_102","OTU_95","OTU_94","OTU_113","OTU_112","OTU_104","OTU_108","OTU_107","OTU_22","OTU_198","OTU_15","OTU_25","OTU_204","OTU_47","OTU_338","OTU_149","OTU_2","OTU_140","OTU_152","OTU_150","OTU_53","OTU_52","OTU_54","OTU_55","OTU_51","OTU_49","OTU_59","OTU_61","OTU_56","OTU_44","OTU_42","OTU_81","OTU_82","OTU_83","OTU_76","OTU_91","OTU_89","OTU_92","OTU_85","OTU_86","OTU_87","OTU_60","OTU_66","OTU_68","OTU_63","OTU_64","OTU_74","OTU_69","OTU_70","OTU_273","OTU_9","OTU_31","OTU_3","OTU_10","OTU_30","OTU_6","OTU_4","OTU_26","OTU_12","OTU_335","OTU_8","OTU_14","OTU_216","OTU_18","OTU_33","OTU_39","OTU_11","OTU_40","OTU_23","OTU_32","OTU_13","OTU_1","OTU_20","OTU_24","OTU_207","OTU_286","OTU_1062","OTU_7","OTU_17","OTU_27","OTU_28","OTU_21","OTU_34","OTU_16"
"OTU_107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341509455107635,0,0.106983521816668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284237820127457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331513547727457,0,0.124311748461566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350492763947369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023183350136163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104515025720246,0,0,0,0,0,0,0.0165357847534313,0,0,0,0,0,0,0
"OTU_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145710900298356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341509455107635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108007849902668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267830381470702,0,0,0,0,0,0,0,0,0,0,0,0.0129677144894333,0.325331296622706,0,0,0,0,0,0,0.0314820362159399,0,0,0,0,0.228920107139901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_47",0,0,0,0,0,0,0.168649180304648,0,0,0,0,0,0,0,0.106983521816668,0.0350492763947369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716701669578321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127013350560338,0,0,0,0,0.0270718390644047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101828681265488,0,0,0,0,0,0,0,0,0,0,0
"OTU_338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135078459612374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245104181663619,0,0,0.182960739350926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
