"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_120",0,0,0,0,0,0,0,0,0,0,0,0,62,17,0,11,45,21,1,6,0,0,39,7,0,4,45,0,0,2,0,43,30,3,21,7,1,1,5,3,0,34,23,20,1,1,4,1,5,0
"OTU_119",0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,0,36,30,4,26,7,31,0,7,20,7,4,10,17,12,9,0,4,2,8,2,4,26,14,24,88,22,8,1,4,14,11,4
"OTU_121",0,0,6,0,6,1,0,0,0,0,0,0,7,0,0,0,1,0,5,18,7,6,31,19,20,8,11,7,25,18,26,23,10,24,29,10,14,4,47,19,2,24,20,18,9,5,14,9,13,7
"OTU_118",0,68,0,0,2,2,10,201,3,9,4,6,12,9,5,17,11,2,7,3,7,0,3,7,2,2,4,0,4,3,3,6,0,7,9,2,3,1,7,3,1,1,6,6,2,0,6,0,1,2
"OTU_123",0,0,0,11,13,1,1,0,0,0,0,0,223,0,0,0,0,0,1,1,0,3,10,6,1,12,3,0,0,2,4,3,4,15,43,1,1,0,6,8,2,15,15,15,3,0,12,2,0,0
"OTU_124",2,8,0,4,0,7,1,215,0,0,8,1,14,0,0,0,23,8,13,1,2,0,1,1,10,1,5,1,10,3,0,14,0,10,5,6,3,0,9,0,1,6,10,7,7,1,0,3,4,3
"OTU_122",0,400,0,0,0,0,1,0,21,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,3,0,2,0,0,1,0,0,1,1,0,1,3,0,1,0,0,0,0,0
"OTU_115",146,130,0,1,20,18,13,17,0,0,3,17,1,1,23,33,21,0,5,1,0,0,3,4,6,1,2,1,11,4,0,7,1,1,2,4,0,2,5,5,0,3,2,2,5,0,0,3,0,0
"OTU_36",309,85,202,32,98,7,1,198,77,7,24,100,1,9,25,63,0,3,11,48,15,18,73,74,20,69,70,13,46,13,28,254,70,51,75,14,49,15,21,156,53,136,67,61,33,9,28,48,24,14
"OTU_114",0,0,133,0,0,5,0,0,0,0,0,30,0,0,0,0,0,0,33,4,5,8,8,8,2,0,35,4,1,2,28,5,11,1,4,2,21,3,3,9,6,1,45,7,31,1,12,16,3,9
"OTU_117",1,0,0,0,0,0,3,0,1,69,0,9,0,0,12,0,0,9,5,14,8,3,23,32,19,17,17,1,29,8,14,12,32,18,52,16,22,11,25,14,4,18,29,13,24,1,3,4,5,9
"OTU_116",3,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,13,36,4,13,41,11,39,19,3,3,16,4,31,10,6,22,27,8,15,2,44,9,4,18,8,24,3,5,8,5,3,7
"OTU_133",0,0,0,0,0,0,0,0,3,0,4,6,16,13,17,16,31,8,25,11,13,8,11,16,11,3,18,4,11,1,15,23,12,12,7,7,10,2,15,11,0,15,16,2,1,1,2,2,2,3
"OTU_45",0,0,0,0,0,0,0,0,0,0,45,6,320,0,0,0,121,1,33,27,7,5,25,16,220,1,4,2,15,24,41,5,58,113,47,183,10,34,200,12,5,38,31,38,51,15,8,20,48,74
"OTU_134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,9,4,8,23,4,2,29,3,16,31,2,67,37,4,42,5,19,13,6,23,3,17,8,2,13,5,2,4
"OTU_132",0,0,0,0,0,0,0,0,0,0,22,0,0,0,76,0,0,0,2,22,17,36,0,14,5,0,1,0,52,60,20,6,4,28,31,7,3,5,14,9,5,1,48,10,6,5,2,8,10,3
"OTU_137",0,14,0,6,1,1,11,0,14,4,1,1,6,2,0,1,2,7,10,3,5,0,11,14,4,5,16,2,14,5,8,10,11,14,29,9,5,7,27,17,3,16,15,42,13,3,16,7,5,4
"OTU_136",0,0,0,0,0,1,1,0,0,0,40,0,3,0,0,0,37,1,27,1,7,19,11,9,36,14,15,4,31,3,12,19,5,12,30,14,19,2,13,1,0,4,9,20,0,1,0,5,1,0
"OTU_138",0,0,0,37,0,0,0,0,0,1,4,5,0,24,91,32,159,33,5,0,4,0,1,1,2,2,3,0,4,2,1,5,3,5,4,3,1,2,3,0,0,4,10,0,5,0,0,1,0,2
"OTU_135",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,5,1,6,40,20,13,14,2,8,3,8,19,13,18,21,6,10,3,29,21,4,20,7,45,5,2,14,7,5,19
"OTU_127",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,25,14,18,3,25,22,1,4,23,0,7,2,8,7,5,0,8,26,4,1,44,17,3,7,64,4,28,1,11,12,2,3
"OTU_126",30,26,29,1,16,9,17,6,34,10,0,0,5,4,1,12,6,2,0,3,43,0,7,7,4,6,1,0,0,2,63,1,3,0,0,2,6,0,3,9,0,0,34,1,12,0,0,3,2,3
"OTU_128",0,0,0,0,0,0,0,0,16,0,1,0,0,0,5,39,0,0,2,0,206,0,16,2,0,72,1,0,6,5,1,9,0,0,51,12,0,0,1,1,4,4,10,2,4,0,0,4,1,0
"OTU_125",0,1,0,0,0,0,0,5,1,0,50,0,88,0,0,0,20,1,26,0,13,15,16,9,27,3,1,2,16,3,19,7,3,20,11,9,18,1,19,0,0,5,9,12,6,0,1,4,13,0
"OTU_130",0,0,0,7,33,7,12,0,2,1,18,6,2,79,19,5,4,18,7,5,18,0,12,28,11,1,7,5,13,7,13,1,8,6,6,6,0,0,8,12,1,5,6,8,1,3,1,2,4,6
"OTU_131",0,0,0,0,0,0,0,0,1,0,0,2,5,2,37,11,19,11,2,11,6,2,2,4,1,5,12,0,2,1,6,1,16,12,42,11,2,11,18,26,12,17,16,38,12,5,12,8,10,23
"OTU_129",0,0,0,0,0,0,0,0,0,0,1,6,0,4,8,0,0,2,6,6,0,5,7,13,6,3,12,0,6,6,36,9,30,15,11,7,12,2,24,32,4,15,43,34,5,4,19,4,14,4
"OTU_100",17,7,38,3,16,0,23,13,4,3,23,10,0,30,5,17,0,2,58,12,31,6,9,3,0,7,4,0,3,0,21,3,4,17,22,6,21,10,3,3,0,9,29,37,33,0,1,0,6,2
"OTU_99",0,0,1,0,9,3,0,0,0,0,14,1,1,0,47,6,13,41,10,39,1,4,11,9,17,0,16,8,30,12,6,25,11,54,31,13,10,4,28,21,11,15,6,15,5,4,6,6,6,6
"OTU_101",0,0,0,0,0,0,0,0,0,0,14,0,45,0,3,2,0,1,24,24,11,7,52,12,17,13,35,24,14,11,2,28,12,24,35,15,9,4,31,15,5,9,20,48,5,3,2,4,9,2
"OTU_98",479,1,81,0,0,0,0,0,30,0,0,0,9,1,3,1,0,0,2,2,1,0,3,2,0,7,2,0,4,2,0,1,0,3,8,2,1,1,1,4,2,2,0,2,1,0,0,3,0,5
"OTU_102",12,22,76,11,12,13,25,56,54,1,4,11,2,3,35,8,11,3,13,5,17,3,13,9,3,1,26,1,5,2,14,9,2,1,14,5,4,4,16,6,2,4,29,17,20,0,6,8,3,6
"OTU_103",0,0,0,0,0,0,0,0,0,0,16,31,180,7,1,22,83,40,21,1,0,0,2,6,24,1,7,3,2,0,4,11,3,29,9,10,1,0,2,7,1,7,1,6,0,1,5,1,0,3
"OTU_95",0,25,0,7,5,16,23,313,11,2,43,0,6,4,4,8,4,2,14,20,68,5,11,1,10,4,11,0,4,14,10,7,7,3,11,13,12,1,27,21,8,7,14,49,34,1,13,12,9,32
"OTU_94",0,31,2,1,49,28,2,16,3,0,3,50,6,36,86,53,29,7,6,12,3,3,12,23,5,5,6,1,2,5,1,11,7,1,17,1,8,3,3,31,13,11,9,1,4,2,7,0,11,7
"OTU_96",0,0,0,0,24,6,0,0,0,0,8,58,37,0,190,70,78,33,10,7,6,3,17,18,6,9,24,0,8,11,8,13,8,14,17,7,16,2,12,26,3,8,9,11,8,1,3,10,5,8
"OTU_93",30,0,0,0,0,0,0,0,0,0,22,0,34,2,0,0,119,0,36,15,21,9,9,10,44,10,6,6,18,7,25,3,17,24,16,29,10,3,34,3,1,10,8,19,9,3,1,2,6,3
"OTU_97",0,0,1,0,0,2,0,0,0,0,0,0,0,1,10,2,0,0,5,13,11,13,14,29,51,2,10,6,9,28,28,3,22,47,42,19,7,8,34,11,5,20,53,28,15,8,6,12,8,15
"OTU_111",0,1,23,1,9,8,0,0,11,0,0,0,0,0,0,0,0,0,38,2,19,40,21,93,24,8,8,2,9,5,5,2,1,2,9,73,29,1,4,3,3,0,8,6,27,1,1,9,1,25
"OTU_110",0,0,0,0,0,0,0,0,1,0,45,1,20,145,69,49,123,9,0,0,1,0,1,1,2,2,0,0,2,1,6,1,0,0,2,0,0,0,2,5,1,2,2,1,0,0,0,1,3,2
"OTU_113",0,0,0,0,0,2,3,3,9,0,2,3,0,3,1,5,4,6,44,37,4,9,11,17,36,5,15,21,49,10,13,4,9,12,37,8,3,5,36,14,3,11,34,6,6,1,4,6,7,8
"OTU_112",1,2,31,1,8,1,11,0,61,2,39,17,19,7,27,21,13,12,10,14,0,10,19,22,3,4,7,1,3,2,3,27,8,7,5,9,6,2,4,20,5,16,11,2,2,0,2,1,5,4
"OTU_105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,41,11,16,0,166,0,3,1,48,5,0,14,0,1,0,29,2,0,45,0,0,0,0,0,68,1,0,3,28,0
"OTU_106",0,0,115,0,0,3,0,0,0,0,0,0,0,0,0,0,85,0,0,9,0,8,0,4,0,94,0,0,0,25,10,0,10,32,3,0,10,0,0,2,2,0,40,27,10,0,1,32,2,13
"OTU_104",0,0,0,0,0,0,2,0,1,0,95,6,11,5,37,38,61,43,14,4,6,25,1,17,11,8,8,10,8,11,20,13,18,10,3,3,1,8,7,7,6,9,80,9,5,0,7,12,5,4
"OTU_108",51,46,19,17,6,41,31,7,24,1,25,27,1,17,31,21,1,11,38,15,34,9,22,6,1,9,17,2,6,4,21,9,12,1,23,16,9,4,10,25,6,13,41,32,15,0,5,6,11,3
"OTU_107",12,0,18,2,11,7,6,17,15,0,19,7,25,21,21,11,22,3,13,21,20,7,23,13,14,5,8,2,3,4,12,18,7,6,9,4,3,2,7,13,3,14,37,12,6,7,3,7,7,18
"OTU_179",0,0,0,0,0,1,0,0,1,0,10,1,8,0,0,0,0,0,10,8,2,15,13,8,10,15,10,5,8,5,5,4,6,10,10,6,7,3,18,8,2,11,10,18,7,1,5,4,4,7
"OTU_178",0,1,0,0,0,0,0,0,120,0,0,2,0,4,2,0,1,39,1,4,15,0,0,6,6,3,4,2,3,3,6,4,6,5,8,1,1,0,1,2,0,2,10,2,4,1,3,1,4,0
"OTU_180",2,9,0,0,0,0,0,1,38,0,2,27,7,0,1,0,10,0,10,12,4,0,8,6,6,2,21,2,4,4,6,4,13,14,26,11,11,5,16,8,4,19,31,8,3,5,8,13,2,9
"OTU_176",0,0,0,0,0,0,0,0,0,1,9,7,12,3,0,4,7,23,7,10,1,2,16,12,5,9,20,4,9,2,12,10,6,9,5,6,2,2,7,7,1,7,9,11,1,2,5,3,9,2
"OTU_177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,2,2,1,13,8,1,14,12,5,4,9,10,19,14,12,13,7,5,30,14,2,13,5,27,5,3,7,5,7,6
"OTU_175",0,0,22,0,0,0,3,0,0,0,20,1,15,2,24,4,56,5,21,1,4,1,1,1,18,13,7,4,5,1,1,5,11,2,3,1,3,1,4,2,1,0,5,1,4,0,4,1,0,2
"OTU_183",0,0,0,0,0,0,0,0,0,0,4,0,38,0,0,0,0,0,22,3,9,7,5,0,39,2,4,1,14,12,10,6,3,9,4,21,4,2,14,0,0,4,2,12,6,1,0,2,7,0
"OTU_182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_184",0,0,0,0,1,0,0,0,0,0,0,1,1,61,9,2,1,62,0,2,5,4,11,11,0,2,3,1,0,0,0,2,0,9,14,0,0,3,7,13,3,0,16,15,4,0,4,8,4,1
"OTU_186",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
"OTU_1083",0,3,0,0,0,0,0,0,0,0,11,0,27,0,0,0,1,2,24,3,11,1,12,4,22,1,8,2,11,7,7,18,6,30,10,13,2,0,8,0,1,10,6,6,7,0,5,10,17,2
"OTU_181",0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,67,3,10,3,5,4,3,5,9,4,3,3,12,4,8,7,6,7,8,10,1,4,13,0,2,4,8,16,3,1,0,6,7,0
"OTU_169",1,1,0,1,0,0,0,0,0,0,8,1,8,1,0,4,31,0,26,16,7,13,19,9,23,12,18,11,22,3,7,23,6,11,11,18,4,4,28,3,3,2,5,36,8,0,1,4,7,4
"OTU_170",0,8,7,0,5,2,0,0,0,6,6,0,16,0,6,1,2,0,3,14,4,2,11,9,2,2,10,1,13,1,13,15,6,12,20,7,6,4,15,13,0,11,2,11,2,0,8,6,12,0
"OTU_172",0,0,0,0,0,0,0,0,1,0,0,5,0,1,2,0,0,4,5,5,3,4,0,15,6,3,15,2,5,1,10,7,17,13,24,13,8,4,22,12,5,18,9,13,3,4,12,10,17,10
"OTU_167",0,0,0,0,0,0,0,2,0,0,33,0,35,0,0,0,38,0,29,6,8,1,9,4,17,1,8,2,22,2,8,11,1,3,10,27,5,4,10,0,0,5,6,10,3,0,0,3,7,0
"OTU_166",0,0,0,0,0,0,0,1,0,0,20,0,34,1,0,0,42,0,43,4,12,12,14,7,39,5,14,7,17,6,6,8,1,5,10,17,8,4,31,0,1,2,10,10,2,0,1,1,6,1
"OTU_168",0,7,35,0,2,0,0,0,0,0,0,0,11,1,0,5,0,0,15,8,9,7,7,36,3,3,12,4,8,7,3,13,3,6,23,6,5,0,7,13,1,5,14,8,3,0,2,2,3,6
"OTU_22",126,289,222,277,81,256,268,46,224,166,53,42,10,45,51,42,32,36,62,27,84,7,20,40,15,6,23,0,77,6,62,9,16,5,32,27,46,18,4,39,0,27,102,82,65,2,18,19,17,22
"OTU_174",0,0,0,0,0,0,0,0,0,0,2,1,0,0,48,3,0,0,39,6,15,4,12,21,25,5,11,0,0,0,1,5,3,3,2,2,2,1,6,9,4,4,7,25,13,0,8,1,1,3
"OTU_171",0,0,0,0,0,0,0,3,0,0,15,0,15,0,0,0,11,0,19,0,6,17,17,5,28,3,14,0,6,0,9,3,7,10,9,6,7,7,8,7,1,8,21,9,8,0,2,7,3,1
"OTU_173",0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,0,2,0,15,12,3,1,4,10,5,6,20,3,3,7,10,11,9,7,23,8,11,0,15,18,4,17,11,20,3,1,7,3,5,7
"OTU_197",0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,4,4,0,31,2,3,0,8,0,10,1,0,2,3,2,4,2,12,2,8,33,21,58,9,0,3,2,6,7,3,0
"OTU_199",0,0,0,0,0,0,8,0,0,0,1,0,3,1,15,0,42,15,8,3,3,7,11,14,1,5,13,1,6,0,3,17,4,10,7,1,1,4,5,10,1,2,4,7,5,1,3,1,4,2
"OTU_198",27,25,12,2,2,8,16,10,13,2,7,9,5,13,14,16,5,2,0,2,8,2,2,11,4,0,5,3,11,0,3,17,3,0,2,0,5,0,2,6,3,3,6,9,2,0,1,1,3,3
"OTU_15",31,11,16,0,8,22,0,251,5,1,1,0,1,0,0,0,0,0,8,53,19,220,138,146,28,373,117,40,41,51,30,240,144,206,379,137,139,31,145,256,66,415,48,31,15,15,29,28,23,15
"OTU_195",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,11,7,1,21,5,5,10,13,1,1,7,8,5,17,11,19,6,13,0,19,16,5,13,1,16,4,1,7,2,6,5
"OTU_196",0,0,0,0,0,0,0,0,0,0,2,13,53,28,0,11,71,1,5,0,1,4,1,3,2,0,3,3,4,3,3,4,2,2,4,3,4,0,3,2,1,3,12,7,4,1,1,4,3,1
"OTU_25",181,89,255,37,43,94,95,39,96,58,74,74,12,77,139,53,3,58,51,39,73,20,28,62,19,45,16,3,23,9,57,16,21,35,90,20,44,11,9,67,9,91,108,89,64,3,19,18,21,76
"OTU_203",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,10,2,5,16,8,15,15,16,3,5,2,11,5,11,12,22,15,13,3,15,13,4,8,8,20,10,1,0,7,5,4
"OTU_204",0,7,0,0,1,1,0,2,0,0,0,2,1,45,4,9,11,16,5,4,4,5,10,3,3,4,4,2,1,3,13,4,3,8,3,4,5,2,5,9,4,6,5,2,3,2,1,7,3,2
"OTU_202",0,0,0,0,2,1,0,197,1,14,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,6
"OTU_205",0,0,0,0,0,0,0,69,0,0,2,0,21,0,8,0,89,0,3,2,1,1,3,0,3,1,3,0,3,0,1,4,0,1,1,0,1,0,2,0,2,1,6,2,2,0,1,1,1,0
"OTU_200",0,0,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,6,0,2,0,0,1,1,2,1,0,2,0,1,0,1,0,8,0,0,0,2,115,0,6,3,0,0,0,0
"OTU_201",48,13,2,9,7,0,0,0,0,5,2,0,0,5,4,0,0,0,0,1,4,3,2,3,2,5,9,0,3,2,4,9,4,3,22,6,9,1,7,17,5,6,7,4,0,0,5,4,2,0
"OTU_189",0,0,0,0,0,0,0,0,0,1,1,3,2,27,15,33,37,50,7,4,22,6,6,11,7,8,2,0,8,5,6,2,1,10,1,1,1,0,2,8,7,4,7,1,10,0,0,5,1,1
"OTU_188",0,0,0,0,0,0,0,0,0,0,0,1,3,6,2,1,0,18,1,11,1,6,7,4,1,1,22,0,0,3,6,6,6,6,31,1,1,1,10,12,3,3,25,36,2,1,4,8,3,8
"OTU_191",0,0,0,0,0,0,0,0,1,0,0,2,1,1,9,2,0,1,2,4,3,2,6,9,11,12,12,3,5,4,4,5,19,19,5,6,9,7,13,13,5,10,12,10,4,1,9,3,8,6
"OTU_190",0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,13,1,21,17,1,5,10,6,24,6,13,7,8,4,3,8,5,13,7,18,2,1,16,2,3,6,5,13,0,2,1,2,1,1
"OTU_185",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,2,0,2,14,5,6,0,8,1,3,10,7,1,15,43,14,10,15,10,27,7,1,15,6,7,3,1,4,6,6,5
"OTU_187",0,0,0,0,0,0,60,193,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_193",0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,0,0,3,2,0,0,1,2,11,0,0,0,0,0
"OTU_192",0,0,189,0,0,3,0,0,3,0,4,0,0,2,5,2,0,0,0,0,1,2,5,3,1,6,0,1,1,0,1,0,0,1,0,2,4,0,1,1,1,0,0,6,8,1,2,1,0,0
"OTU_146",0,1,0,0,0,0,0,0,0,0,21,1,25,0,0,0,30,2,24,7,15,7,13,13,25,5,8,3,21,12,5,23,3,11,12,13,11,4,10,2,0,3,19,9,6,1,0,3,6,2
"OTU_47",115,71,367,94,25,99,41,71,112,32,20,18,15,37,43,40,12,30,6,15,77,4,29,21,7,11,27,3,52,7,14,21,13,15,15,17,15,3,9,49,6,26,78,26,18,0,11,7,6,20
"OTU_338",0,2,0,3,0,0,3,0,0,1,12,4,15,9,5,9,5,12,22,20,15,6,21,22,8,8,28,2,12,7,18,11,7,10,34,4,13,7,12,23,4,17,25,16,10,4,4,13,8,7
"OTU_144",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,7,5,14,16,4,34,8,7,14,38,16,8,2,1,44,14,7,4,6,25,12,3,22,8,3,6,1,4,5,7,8
"OTU_145",0,1,2,0,2,15,0,0,0,0,0,1,0,0,0,0,0,0,17,1,4,10,1,2,43,6,15,6,22,15,11,6,8,38,1,2,2,4,6,18,7,9,14,10,6,3,16,13,5,23
"OTU_148",0,0,0,0,0,0,0,0,0,0,1,10,72,5,4,3,54,9,41,1,3,4,2,3,17,15,4,4,6,0,3,4,6,8,10,2,6,0,11,3,0,4,14,7,2,1,0,0,4,0
"OTU_149",0,27,6,0,15,1,0,0,3,2,8,0,3,23,36,8,5,7,5,7,42,1,16,17,5,6,18,1,1,2,16,8,22,4,12,7,5,0,4,17,7,7,7,12,3,4,3,6,2,7
"OTU_147",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,20,0,5,22,16,3,12,11,6,4,0,2,16,6,10,0,44,32,6,3,47,3,13,1,11,21,7,11
"OTU_2",861,901,255,103,177,386,602,452,323,182,311,302,643,250,526,304,620,175,1440,422,708,290,536,244,498,387,255,137,885,97,253,422,229,135,301,397,190,68,344,346,277,203,891,444,247,73,304,223,104,145
"OTU_140",23,8,4,1,10,6,3,12,2,1,2,8,1,10,10,45,0,2,5,3,28,1,7,5,0,3,2,0,21,0,10,12,3,3,3,13,3,0,3,13,10,3,37,19,12,4,16,3,2,1
"OTU_139",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,1,2,0,0,0,3,0,0,0,8,0,71,4,72,0,14,0,120,8,0,45,4,49,1,0,0,0,9,17
"OTU_142",0,0,0,0,0,0,0,0,0,0,0,16,20,89,10,6,17,16,2,32,2,2,12,5,0,14,5,1,7,1,21,6,0,2,12,1,11,0,11,10,3,15,1,9,5,1,5,2,2,6
"OTU_143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,5,12,0,25,11,3,2,9,15,27,24,3,28,4,9,7,14,38,5,15,5,19,13,8,12,11,20,23
"OTU_141",0,17,0,0,0,11,51,73,74,55,1,1,0,1,0,0,22,1,0,3,3,1,2,0,3,0,0,0,0,0,1,1,8,0,7,4,4,0,6,2,1,5,3,15,1,2,4,7,8,10
"OTU_160",0,0,0,0,0,0,0,0,70,0,0,0,8,0,0,2,0,0,5,2,0,1,6,22,7,0,15,2,2,2,1,6,8,14,27,13,1,0,12,1,0,10,6,58,12,1,1,1,7,3
"OTU_161",16,0,7,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_158",0,0,0,0,0,12,9,2,4,0,22,0,0,0,0,1,0,0,4,1,12,8,5,13,10,29,17,0,19,9,18,4,4,16,14,14,4,3,15,6,1,3,8,3,28,2,5,3,6,34
"OTU_159",238,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,1,3,7,2,3,0,1,1,2,2,4,1,2,1,5,2,4,2,4,0,5,3,4,0,2,0,0,2
"OTU_164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,8,1,12,9,10,3,10,46,2,23,6,10,8,0,13,23,10,4,2,11,9,12,4,31,11,6,3,5,4,3,7
"OTU_165",0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,4,2,10,9,4,51,3,2,2,0,3,11,22,0,13,1,24,24,1,26,7,1,1,9,19,4,7,0,0,3,6,24
"OTU_162",0,0,0,0,0,0,0,0,29,2,0,0,0,0,1,0,0,0,10,23,5,6,4,26,1,6,27,1,10,5,5,6,18,14,11,7,9,1,18,23,15,16,11,16,4,3,6,1,14,7
"OTU_163",0,0,37,29,133,10,0,0,0,0,6,11,21,0,14,4,3,7,0,1,6,0,1,0,1,11,0,0,2,1,6,1,1,4,1,5,0,0,0,0,0,0,5,0,4,0,0,2,2,0
"OTU_152",0,0,0,1,3,0,0,0,0,2,54,1,1,0,5,14,1,14,0,3,4,1,11,8,7,4,15,5,6,2,5,11,1,2,32,1,4,5,5,16,4,4,23,4,14,4,8,3,10,16
"OTU_151",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,9,0,73,3,11,0,18,0,2,25,1,3,5,0,0,0,0,4,2,0,2,12,3,123,4,13,1,0,5,4,4
"OTU_153",0,0,0,0,0,0,0,0,1,0,0,2,1,0,5,0,0,132,12,15,1,0,6,7,0,3,7,1,10,3,6,9,15,27,21,13,7,1,20,24,7,13,24,9,0,6,5,4,9,17
"OTU_150",0,1,4,0,1,0,0,0,48,1,1,0,0,2,16,2,2,1,12,2,6,3,6,18,13,4,6,2,2,11,13,4,1,9,14,5,4,1,7,8,7,6,19,42,14,0,11,8,4,14
"OTU_156",0,0,0,0,0,0,0,0,0,0,0,3,2,152,0,8,10,0,3,8,3,3,7,5,2,6,5,1,3,1,2,1,3,15,8,2,0,2,11,6,7,10,16,4,3,0,7,4,2,1
"OTU_157",0,0,1,0,0,0,1,0,0,0,9,3,0,180,1,14,1,5,0,1,1,0,4,10,4,12,1,1,2,6,8,4,2,4,3,0,5,0,2,7,8,1,13,0,2,0,0,2,1,3
"OTU_155",0,0,0,5,0,0,0,0,3,0,0,1,1,1,78,17,13,0,18,6,15,5,15,19,6,0,6,2,5,3,20,5,26,9,14,7,15,2,11,4,4,5,5,10,8,0,4,8,2,1
"OTU_154",0,0,0,0,12,30,0,0,0,0,16,1,9,26,4,33,50,18,9,5,44,1,5,8,9,1,5,2,0,0,7,13,2,5,1,6,1,1,1,1,3,0,5,1,2,0,0,1,1,1
"OTU_53",7,0,16,0,16,2,204,166,0,18,8,4,15,13,20,15,206,6,8,13,13,5,16,24,23,10,40,3,27,14,25,11,8,12,39,9,9,7,15,31,7,12,28,20,7,0,17,20,8,9
"OTU_52",0,1,0,1,10,0,0,0,0,2,21,34,89,108,153,55,68,71,16,23,7,13,43,36,32,37,41,8,20,15,24,23,25,21,23,11,12,10,55,38,15,24,31,37,14,9,9,8,17,18
"OTU_54",76,10,60,1,12,12,30,36,9,27,10,5,48,8,22,6,4,10,46,32,16,12,25,19,35,19,39,8,17,11,33,19,14,19,60,26,23,7,29,24,8,26,36,71,28,5,31,17,12,34
"OTU_55",4,343,3,0,12,2,7,1,11,0,15,3,14,5,6,4,18,10,10,24,17,10,219,16,17,10,8,9,2,3,15,19,5,11,32,14,17,3,23,14,4,10,16,16,9,1,26,17,7,14
"OTU_51",29,2,1,20,13,41,9,2,12,7,18,5,74,106,71,85,42,38,30,26,20,3,31,25,16,14,13,5,25,5,39,8,21,11,23,11,10,3,33,64,12,37,45,27,15,9,26,14,20,78
"OTU_49",0,124,111,4,0,62,113,0,114,124,72,0,0,73,2,0,1,1,28,12,11,2,22,13,11,17,55,7,14,7,11,5,6,15,13,6,14,1,12,24,4,24,24,46,14,5,4,5,0,9
"OTU_59",0,75,3,0,2,33,75,29,26,21,18,8,21,43,19,20,310,49,11,7,26,6,9,13,10,12,16,7,14,1,9,9,9,4,11,6,6,4,8,11,1,5,9,3,5,0,3,1,2,4
"OTU_61",0,4,0,0,0,0,188,78,23,1,3,25,25,70,177,62,11,74,8,8,4,8,1,9,14,6,1,2,9,8,15,9,8,8,11,4,4,2,14,16,5,8,145,6,13,2,3,4,10,12
