"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0,2,1,5,0,0,0,2,0,0,0,0,0,0,0
"OTU_970",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,1,0,0,1,0,2,2,0,0,0,3,0,0,1,1,0,1,0,1,0,1,0
"OTU_955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0
"OTU_947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,0,1,2,2,0,1,0,0,1,3,1,0,6,0,1,0,0,0,0,0,0
"OTU_958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"OTU_948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,3,0,2,0,2,1,0,3,4,3,0,0,0,0,0,2
"OTU_937",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,0,0,0,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"OTU_1012",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,3,2,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"OTU_1001",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,3,0,0,0,0,0,1,1
"OTU_1005",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,4,0,2,0,0,2,0,0,1,0,2,0,0,0,1,1,0,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0
